Complexity metrics;Mo; 29 Mai 2017 17:44:37 MESZ;;;;
Method;ev(G);iv(G);v(G);;ev(G)=;Essential cyclomatic complexity
com.vnv.model.Password.Password();1;1;1;;;
"com.vnv.model.Password.checkPassword(String;String;String)";3;1;5;;;
com.vnv.model.Password.generateSalt();1;1;1;;;
com.vnv.model.Password.hashPassword(String);2;1;2;;;
"com.vnv.model.Password.hashPassword(String;String)";1;3;3;;;
"com.vnv.model.Password.slowEquals(byte[];byte[])";1;1;3;;;
com.vnv.model.PasswordTest.checkPassword();1;1;1;;;
com.vnv.model.Profiles.checkActiveProfile(String);2;1;2;;;
com.vnv.model.Profiles.checkDebugActive();1;1;1;;;
com.vnv.model.Profiles.checkFakeActive();1;1;1;;;
com.vnv.model.Profiles.checkProdActive();1;1;1;;;
com.vnv.model.Profiles.init();1;1;1;;;
"com.vnv.service.GoogleService.addSocialFriends(User;String)";1;4;4;;;
com.vnv.service.GoogleService.changeRedirectUri();1;1;1;;;
com.vnv.service.GoogleService.getConfig();1;1;1;;;
"com.vnv.service.GoogleService.getTokens(String;String;String)";1;1;2;;;
com.vnv.service.GoogleService.getUserInfo(String);2;6;6;;;
"com.vnv.service.GoogleService.login(String;String;String;HttpSession)";7;6;9;;;
com.vnv.service.GoogleService.retrieveConfig();1;1;1;;;
"com.vnv.service.GoogleService.retrieveFriends(String;String)";1;3;3;;;
"com.vnv.service.GoogleService.validate(String;String;long)";4;4;4;;;
com.vnv.service.GoogleService.validateToken(String);2;2;3;;;
com.vnv.service.GoogleServiceTest.getConfig();1;1;1;;;
"com.vnv.service.MailService.sendEmail(String;String;String)";1;1;1;;;
com.vnv.service.MessageServiceTest.name();1;1;1;;;
com.vnv.service.MessageServiceTest.setUp();1;1;1;;;
com.vnv.service.MessageServiceTest.tearDown();1;1;1;;;
